timestamp,round,total_clients,fit_clients,avg_train_loss,avg_val_loss,avg_val_r2,centralized_test_loss,centralized_test_r2,algorithm
2025-10-30 01:40:07,1,12,12,11873.966471354166,11562.334879557291,-0.8218865295251211,10.0,-1.0,nasa_25c_alpha_0.1_fedavg
2025-10-30 01:40:10,2,25,25,7190.98109375,7209.67185546875,-0.01943033218383789,10.0,-1.0,nasa_25c_alpha_0.1_fedavg
2025-10-30 01:40:12,3,25,25,7194.13111328125,7215.05587890625,-0.019915981292724608,10.0,-1.0,nasa_25c_alpha_0.1_fedavg
2025-10-30 01:40:15,4,25,25,7192.04583984375,7213.0682421875,-0.01990898609161377,10.0,-1.0,nasa_25c_alpha_0.1_fedavg
2025-10-30 01:40:20,5,25,25,7191.41318359375,7209.53021484375,-0.019825716018676758,10.0,-1.0,nasa_25c_alpha_0.1_fedavg
2025-10-30 01:40:22,6,25,25,7192.85146484375,7210.0924609375,-0.01962808132171631,10.0,-1.0,nasa_25c_alpha_0.1_fedavg
2025-10-30 01:40:25,7,25,25,7176.7334375,7193.31685546875,-0.017091150283813476,10.0,-1.0,nasa_25c_alpha_0.1_fedavg
2025-10-30 01:40:27,8,25,25,7179.95380859375,7195.67302734375,-0.01781463623046875,10.0,-1.0,nasa_25c_alpha_0.1_fedavg
2025-10-30 01:40:32,9,25,25,7171.37513671875,7188.08390625,-0.01661025047302246,10.0,-1.0,nasa_25c_alpha_0.1_fedavg
2025-10-30 01:40:37,10,25,25,7184.41669921875,7202.94349609375,-0.018626513481140135,10.0,-1.0,nasa_25c_alpha_0.1_fedavg
