round,client_id,num_examples,loss,mae,train_loss,val_loss,train_rmse,val_rmse,train_mse,val_mse,train_mae,val_mae,train_r2,val_r2,algorithm
1,client_6,791,0.08044537156820297,0.2437276542186737,0.08044537156820297,0.08082864433526993,0.2836289197483613,0.2843037888162413,0.08044536411762238,0.08082864433526993,0.2437276542186737,0.24054892361164093,0.008029639720916748,-0.006879925727844238,qfedavg
1,client_11,292,0.08510825037956238,0.2515893280506134,0.08510825037956238,0.07294519990682602,0.2917331707725088,0.2700836767674889,0.08510824292898178,0.07294519245624542,0.2515893280506134,0.2359529435634613,0.016195595264434814,0.02504861354827881,qfedavg
1,client_10,415,0.07819370925426483,0.23889388144016266,0.07819370925426483,0.07937867939472198,0.27963138102556523,0.2817422215336601,0.07819370925426483,0.07937867939472198,0.23889388144016266,0.24759691953659058,0.0263940691947937,0.007214188575744629,qfedavg
1,client_12,791,0.0832449421286583,0.251804918050766,0.0832449421286583,0.07714706659317017,0.2885219959182632,0.2777535942928364,0.0832449421286583,0.07714705914258957,0.251804918050766,0.23521877825260162,0.01821315288543701,-0.01340484619140625,qfedavg
1,client_20,791,0.0849827453494072,0.25317034125328064,0.0849827453494072,0.08004298061132431,0.2915179889797997,0.2829186819765077,0.0849827378988266,0.08004298061132431,0.25317034125328064,0.23933115601539612,-0.0007026195526123047,-0.012179255485534668,qfedavg
1,client_7,791,0.08283583074808121,0.24858705699443817,0.08283583074808121,0.0766291543841362,0.28781213194982,0.2768197145871952,0.08283582329750061,0.0766291543841362,0.24858705699443817,0.23699724674224854,0.020672321319580078,0.01658046245574951,qfedavg
1,client_9,746,0.08513302356004715,0.2528139054775238,0.08513302356004715,0.078492172062397,0.29177563907915127,0.28016454462047297,0.08513302356004715,0.078492172062397,0.2528139054775238,0.24330687522888184,-0.0023075342178344727,-0.006857037544250488,qfedavg
1,client_3,791,0.0821048691868782,0.2471967488527298,0.0821048691868782,0.09310118854045868,0.2865394853025649,0.30512487368364233,0.0821048766374588,0.09310118854045868,0.2471967488527298,0.2680925130844116,0.0005800127983093262,-0.011888384819030762,qfedavg
2,client_6,791,0.08518735319375992,0.24830183386802673,0.08518735319375992,0.0777561292052269,0.29186871319684016,0.27884786032033115,0.08518734574317932,0.0777561292052269,0.24830183386802673,0.24094589054584503,-0.05098426342010498,0.0010946393013000488,qfedavg
2,client_16,791,0.07946449518203735,0.24237771332263947,0.07946449518203735,0.09228772670030594,0.28189446204467505,0.3037889509187356,0.07946448773145676,0.09228772670030594,0.24237771332263947,0.2665814161300659,0.0029069185256958008,-0.0098649263381958,qfedavg
2,client_11,292,0.08381345123052597,0.25209206342697144,0.08381345123052597,0.08226090669631958,0.28950550310722034,0.2868116093287351,0.08381343632936478,0.08226089924573898,0.25209206342697144,0.24329589307308197,0.01842421293258667,-0.03654301166534424,qfedavg
2,client_10,415,0.07637384533882141,0.23753754794597626,0.07637384533882141,0.09409171342849731,0.2763581830502245,0.3067437259806585,0.07637384533882141,0.09409171342849731,0.23753754794597626,0.2688293159008026,-0.003908753395080566,0.014078974723815918,qfedavg
2,client_9,746,0.08247832953929901,0.24835680425167084,0.08247832953929901,0.08843358606100082,0.2871904193908279,0.2973778631834949,0.08247833698987961,0.08843359351158142,0.24835680425167084,0.259498655796051,0.0034111738204956055,-0.0029486417770385742,qfedavg
2,client_15,791,0.07775186747312546,0.23858927190303802,0.07775186747312546,0.08359139412641525,0.2788402185358587,0.28912175061007545,0.07775186747312546,0.08359138667583466,0.23858927190303802,0.24762317538261414,0.06444883346557617,0.02652609348297119,qfedavg
2,client_4,715,0.09689299762248993,0.2653026878833771,0.09689299762248993,0.08157217502593994,0.311276388715735,0.2856084425862102,0.09689299017190933,0.08157218247652054,0.2653026878833771,0.2403915971517563,-0.16096162796020508,-0.022977590560913086,qfedavg
2,client_21,791,0.0855429545044899,0.2534736394882202,0.0855429545044899,0.077713742852211,0.29247727177421823,0.27877183394602545,0.0855429545044899,0.0777137354016304,0.2534736394882202,0.24252328276634216,-0.007597446441650391,-0.000796198844909668,qfedavg
2,client_22,791,0.08567140996456146,0.25078415870666504,0.08567140996456146,0.08826876431703568,0.29269678844251346,0.2971006088307735,0.08567140996456146,0.08826877176761627,0.25078415870666504,0.25567471981048584,-0.062139153480529785,-0.031589508056640625,qfedavg
3,client_2,791,0.08731629699468613,0.25789251923561096,0.08731629699468613,0.08306871354579926,0.295493298645004,0.2882164352458049,0.08731628954410553,0.08306871354579926,0.25789251923561096,0.24738876521587372,0.003700435161590576,-0.019989848136901855,qfedavg
3,client_5,651,0.08489673584699631,0.25257623195648193,0.08489673584699631,0.08264727890491486,0.2913704443607764,0.287484397672143,0.08489673584699631,0.08264727890491486,0.25257623195648193,0.24916422367095947,0.0018489360809326172,-0.009630084037780762,qfedavg
3,client_25,791,0.08463332802057266,0.2508239150047302,0.08463332802057266,0.07797205448150635,0.2909180650457996,0.27923475254868574,0.08463332056999207,0.07797204703092575,0.2508239150047302,0.23823601007461548,0.019401907920837402,-0.015907645225524902,qfedavg
3,client_9,746,0.08276055008172989,0.24992378056049347,0.08276055008172989,0.08773962408304214,0.2876813342602017,0.29620875085493703,0.08276055008172989,0.08773962408304214,0.24992378056049347,0.2537466585636139,-9.47713851928711e-05,0.005416989326477051,qfedavg
3,client_11,292,0.10792690515518188,0.2747521698474884,0.10792690515518188,0.09971356391906738,0.32852229407545736,0.31577454602780664,0.10792689770460129,0.09971356391906738,0.2747521698474884,0.27476608753204346,-0.2850691080093384,-0.18211793899536133,qfedavg
3,client_16,791,0.08342566341161728,0.2492481768131256,0.08342566341161728,0.08044843375682831,0.2888350107096044,0.28363431792758736,0.08342566341161728,0.08044842630624771,0.2492481768131256,0.23891738057136536,-0.009652972221374512,-0.01000368595123291,qfedavg
3,client_6,791,0.08302649855613708,0.2470499724149704,0.08302649855613708,0.07130151987075806,0.28814317813468443,0.2670234444215677,0.08302649110555649,0.07130151987075806,0.2470499724149704,0.22809769213199615,0.003697335720062256,-0.0008820295333862305,qfedavg
3,client_23,791,0.07879175990819931,0.2389429658651352,0.07879175990819931,0.08251674473285675,0.28069869951283943,0.2872572926549252,0.07879175990819931,0.08251675218343735,0.2389429658651352,0.2506917119026184,-0.011417508125305176,-0.009038686752319336,qfedavg
3,client_20,791,0.08333791047334671,0.24923276901245117,0.08333791047334671,0.0857010930776596,0.2886830623250119,0.292747477575946,0.08333791047334671,0.08570108562707901,0.24923276901245117,0.2523246109485626,-0.0015298128128051758,0.0026894807815551758,qfedavg
3,client_15,791,0.0843459814786911,0.2513354420661926,0.0843459814786911,0.07987765222787857,0.2904237963368207,0.2826263341893285,0.0843459814786911,0.07987764477729797,0.2513354420661926,0.24057340621948242,0.002232789993286133,-0.007411479949951172,qfedavg
3,client_0,791,0.08202182501554489,0.2451050579547882,0.08202182501554489,0.07680411636829376,0.2863945398678639,0.27713555594382644,0.08202183246612549,0.07680411636829376,0.2451050579547882,0.23748432099819183,0.028671205043792725,0.04264986515045166,qfedavg
4,client_4,715,0.08250431716442108,0.24889768660068512,0.08250431716442108,0.08618537336587906,0.2872356604166719,0.29357342942561726,0.08250432461500168,0.08618535846471786,0.24889768660068512,0.2558020055294037,0.004152357578277588,-0.0025000572204589844,qfedavg
4,client_12,791,0.08451419323682785,0.2467942088842392,0.08451419323682785,0.10143571346998215,0.2907132491594214,0.3184897501028294,0.08451419323682785,0.10143572092056274,0.2467942088842392,0.28290972113609314,-0.07218575477600098,-0.023223876953125,qfedavg
4,client_26,791,0.08269348740577698,0.24772393703460693,0.08269348740577698,0.0804700031876564,0.2875647534135172,0.2836723518209986,0.08269348740577698,0.0804700031876564,0.24772393703460693,0.24694795906543732,-0.0003211498260498047,0.0002275705337524414,qfedavg
4,client_25,791,0.08334602415561676,0.250000536441803,0.08334602415561676,0.08908576518297195,0.2886971278107861,0.2984723734826916,0.08334603160619736,0.08908575773239136,0.250000536441803,0.2555079460144043,0.0024451613426208496,-0.01845526695251465,qfedavg
4,client_8,791,0.0825190395116806,0.24782118201255798,0.0825190395116806,0.0743534043431282,0.28726127395052853,0.27267819291712275,0.0825190395116806,0.07435339689254761,0.24782118201255798,0.2292507439851761,0.0054686665534973145,-0.016255855560302734,qfedavg
4,client_24,791,0.08820831030607224,0.2597609758377075,0.08820831030607224,0.06925870478153229,0.2969988263537276,0.2631704861520993,0.08820830285549164,0.06925870478153229,0.2597609758377075,0.22765536606311798,0.0029053688049316406,0.002216339111328125,qfedavg
4,client_7,791,0.0835719183087349,0.24952201545238495,0.0835719183087349,0.0682326927781105,0.2890880805372904,0.26121388320322964,0.0835719183087349,0.0682326927781105,0.24952201545238495,0.2214462012052536,0.033205389976501465,0.03334355354309082,qfedavg
4,client_20,791,0.08475518226623535,0.2520918846130371,0.08475518226623535,0.08050332218408585,0.2911274330361798,0.28373107370199313,0.08475518226623535,0.08050332218408585,0.2520918846130371,0.24178290367126465,-0.0019252300262451172,-0.005444526672363281,qfedavg
4,client_13,791,0.07661020010709763,0.23658037185668945,0.07661020010709763,0.0872933492064476,0.2767854766910606,0.29545447907663813,0.07661020010709763,0.0872933492064476,0.23658037185668945,0.2549433708190918,0.0020110011100769043,0.0056996941566467285,qfedavg
