timestamp,round,total_clients,fit_clients,eval_clients,avg_train_loss,avg_val_loss,avg_train_rmse,avg_val_rmse,avg_train_r2,avg_val_r2,centralized_loss,algorithm
2025-10-29 11:09:00,1,12,12,0,8864.5634765625,8634.784220377604,93.80303513363388,92.64497076672012,-0.3956243594487508,-0.4035118619600932,0.0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:09:05,2,25,25,0,7193.4176953125,7051.95203125,84.30974394221147,83.47364378549678,-0.011563401222229003,-0.01251218318939209,0.0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:09:10,3,25,25,0,7211.5512109375,7067.3584375,84.41836845400218,83.56881590675435,-0.014223899841308594,-0.014901700019836426,0.0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:09:15,4,25,25,0,7205.20890625,7063.31875,84.37936000468477,83.54241666155802,-0.013261103630065918,-0.014234232902526855,0.0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:09:19,5,25,25,0,7189.71404296875,7048.71841796875,84.28994486078066,83.45748241928246,-0.011135258674621583,-0.0121840238571167,0.0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:09:24,6,25,25,0,7204.41431640625,7062.584140625,84.38150026544827,83.54682886999018,-0.01345552921295166,-0.014526567459106444,0.0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:09:29,7,25,25,0,7199.00728515625,7058.92458984375,84.340075553761,83.51231772248484,-0.012253146171569824,-0.013401246070861817,0.0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:09:34,8,25,25,0,7203.49365234375,7064.6255859375,84.37139456306294,83.5534588071357,-0.013127326965332031,-0.014592442512512207,0.0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:09:39,9,25,25,0,7200.72701171875,7057.355078125,84.35409793036945,83.50783868271566,-0.012660355567932128,-0.013377408981323242,0.0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:09:43,10,25,25,0,7198.32677734375,7055.853203125,84.3418031046125,83.50213651186283,-0.01241347312927246,-0.013323960304260253,0.0,nasa_25c_alpha_0.1_fedavg
