timestamp,round,train_loss,val_loss,avg_epoch_loss,train_rmse,train_mse,train_mae,train_r2,val_rmse,val_mse,val_mae,val_r2,samples,algorithm,client_id,model_type,learning_rate,batch_size
2025-10-31 03:37:02,2,0.08314716815948486,0.08265022933483124,0.11161348502538358,0.2883525067681654,0,0,-0.004938721656799316,0.28748951612928536,0,0,-0.012964010238647461,5456,qfedavg,client_10,lstm,0.001,32
2025-10-31 03:37:37,4,0.08272996544837952,0.0817951112985611,0.10760562642537361,0.28762815925739765,0,0,0.00010371208190917969,0.2859984463219356,0,0,-0.0024837255477905273,5456,qfedavg,client_10,lstm,0.001,32
2025-10-31 03:37:54,5,0.08393333852291107,0.08363879472017288,0.1112509790851533,0.2897125101249704,0,0,-0.014440655708312988,0.28920373816870604,0,0,-0.025080084800720215,5456,qfedavg,client_10,lstm,0.001,32
2025-10-31 03:38:04,6,0.08493749797344208,0.0848914235830307,0.11205936429684449,0.2914403849390851,0,0,-0.026577234268188477,0.29136134100736716,0,0,-0.04043233394622803,5456,qfedavg,client_10,lstm,0.001,32
2025-10-31 03:38:36,8,0.08274595439434052,0.08170204609632492,0.11001803901329724,0.2876559653376591,0,0,-8.96453857421875e-05,0.285835684696198,0,0,-0.0013430118560791016,5456,qfedavg,client_10,lstm,0.001,32
2025-10-31 03:39:15,10,0.08449900150299072,0.08437372744083405,0.10372724582315888,0.2906871196028313,0,0,-0.021277427673339844,0.29047154764323035,0,0,-0.034087181091308594,5456,qfedavg,client_10,lstm,0.001,32
2025-10-31 03:39:41,12,0.08314308524131775,0.08252842724323273,0.10878825702906003,0.28834542694712145,0,0,-0.004889369010925293,0.2872776135434725,0,0,-0.011471271514892578,5456,qfedavg,client_10,lstm,0.001,32
2025-10-31 03:40:13,14,0.08427242934703827,0.08404549211263657,0.10824068833403944,0.2902971397500125,0,0,-0.018538951873779297,0.2899060056512051,0,0,-0.03006446361541748,5456,qfedavg,client_10,lstm,0.001,32
2025-10-31 03:40:38,15,0.08294577151536942,0.08224223554134369,0.10305824938282863,0.28800307553109467,0,0,-0.002504587173461914,0.2867790709611559,0,0,-0.00796365737915039,5456,qfedavg,client_10,lstm,0.001,32
2025-10-31 03:40:54,16,0.08340903371572495,0.08293797820806503,0.10487740383597843,0.2888062088410572,0,0,-0.008103728294372559,0.2879895582458601,0,0,-0.016490817070007324,5456,qfedavg,client_10,lstm,0.001,32
2025-10-31 03:41:24,18,0.08488021045923233,0.0848236083984375,0.10904347047492949,0.2913420849435116,0,0,-0.02588486671447754,0.2912449285368545,0,0,-0.03960108757019043,5456,qfedavg,client_10,lstm,0.001,32
2025-10-31 03:42:01,20,0.08291157335042953,0.08216620236635208,0.10868486847554208,0.28794369823010457,0,0,-0.0020912885665893555,0.28664647628455525,0,0,-0.007031798362731934,5456,qfedavg,client_10,lstm,0.001,32
2025-10-31 03:42:29,22,0.08377870917320251,0.0833931416273117,0.10999853950952403,0.2894455202161583,0,0,-0.01257181167602539,0.2887787070185607,0,0,-0.022069215774536133,5456,qfedavg,client_10,lstm,0.001,32
2025-10-31 03:42:51,24,0.08372175693511963,0.08335652947425842,0.1090344989683196,0.2893471218711526,0,0,-0.01188349723815918,0.2887152957909882,0,0,-0.021620512008666992,5456,qfedavg,client_10,lstm,0.001,32
2025-10-31 03:43:17,25,0.08272316306829453,0.08165612816810608,0.10257102548712992,0.28761633405930537,0,0,0.00018590688705444336,0.28575535116166323,0,0,-0.0007802248001098633,5456,qfedavg,client_10,lstm,0.001,32
2025-10-31 03:43:31,26,0.08395314961671829,0.08366908878087997,0.10216757000131681,0.2897466990609527,0,0,-0.014680147171020508,0.28925610837363586,0,0,-0.025451302528381348,5456,qfedavg,client_10,lstm,0.001,32
