timestamp,round,fold,train_loss,val_loss,rmse,mse,mae,r2,client_id,model_type
2025-10-31 01:29:46,5,1,22641.536990282013,17650.970703125,132.8569484445582,17650.96875,103.3236312866211,-1.348454475402832,client_18,lstm
2025-10-31 01:29:46,5,2,21696.802996379574,20212.197265625,142.16960739069725,20212.197265625,110.95746612548828,-1.4385309219360352,client_18,lstm
2025-10-31 01:29:46,5,3,22650.912645293443,17758.728515625,133.2618867821929,17758.73046875,101.62162780761719,-1.2163777351379395,client_18,lstm
2025-10-31 01:31:49,10,1,22771.571312881097,18195.23046875,134.88970465485866,18195.232421875,105.47431182861328,-1.4208686351776123,client_18,lstm
2025-10-31 01:31:49,10,2,21595.93798828125,19879.166015625,140.99349635931793,19879.166015625,109.68244171142578,-1.3983519077301025,client_18,lstm
2025-10-31 01:31:49,10,3,22652.489877096035,17870.837890625,133.68185325849205,17870.837890625,102.05744171142578,-1.2303693294525146,client_18,lstm
2025-10-31 01:33:50,15,1,22701.91026343369,17932.423828125,133.9120076066743,17932.42578125,104.43413543701172,-1.385901927947998,client_18,lstm
2025-10-31 01:33:50,15,2,21655.808081650153,20180.251953125,142.05721366099294,20180.251953125,110.83533477783203,-1.4346766471862793,client_18,lstm
2025-10-31 01:33:50,15,3,22680.190739329268,17983.9140625,134.1041165009486,17983.9140625,102.49609375,-1.2444818019866943,client_18,lstm
2025-10-31 01:35:48,20,1,22651.23497046494,17871.134765625,133.68296363271202,17871.134765625,104.19119262695312,-1.3777472972869873,client_18,lstm
2025-10-31 01:35:48,20,2,21595.775319169206,19874.109375,140.97556996914395,19874.111328125,109.66303253173828,-1.3977417945861816,client_18,lstm
2025-10-31 01:35:48,20,3,22669.27321122332,17944.49609375,133.95707538937614,17944.498046875,102.34245300292969,-1.2395622730255127,client_18,lstm
2025-10-31 01:37:45,25,1,22707.21116377668,18107.974609375,134.565874609334,18107.974609375,105.12847137451172,-1.4092588424682617,client_18,lstm
2025-10-31 01:37:45,25,2,21579.443180735518,19934.587890625,141.18990701799473,19934.58984375,109.89497375488281,-1.4050383567810059,client_18,lstm
2025-10-31 01:37:45,25,3,22708.322408536587,18041.642578125,134.31918172072446,18041.642578125,102.72093200683594,-1.2516865730285645,client_18,lstm
2025-10-31 01:39:54,30,1,22713.821944073934,18159.427734375,134.75691366772244,18159.42578125,105.33258056640625,-1.4161045551300049,client_18,lstm
2025-10-31 01:39:54,30,2,21610.389303067837,20052.63671875,141.60733975283554,20052.638671875,110.34597778320312,-1.4192805290222168,client_18,lstm
2025-10-31 01:39:54,30,3,22679.667933022105,17942.029296875,133.94786036691664,17942.029296875,102.3329086303711,-1.2392542362213135,client_18,lstm
