timestamp,round,fold,train_loss,val_loss,rmse,mse,mae,r2,client_id
2025-10-28 21:39:52,0,1,6280.71533203125,6938.1435546875,83.29551648441979,6938.14306640625,65.9864730834961,-0.21010220050811768,client_23
2025-10-28 21:39:52,0,2,6478.4638671875,5852.90380859375,76.5042731394381,5852.90380859375,61.40656661987305,-0.14595520496368408,client_23
2025-10-28 21:39:52,0,3,5755.6845703125,6163.96435546875,78.51091870223371,6163.96435546875,61.974693298339844,-0.047762513160705566,client_23
2025-10-28 21:39:52,0,4,6162.69091796875,5808.57421875,76.21400277344053,5808.57421875,60.82390213012695,-0.05955338478088379,client_23
2025-10-28 21:39:52,0,5,5820.951171875,5799.00146484375,76.15117186598313,5799.0009765625,61.634361267089844,-0.046880245208740234,client_23
2025-10-28 21:40:15,0,1,5780.0009765625,6278.87255859375,79.2393371917872,6278.87255859375,63.71611022949219,-0.09511685371398926,client_23
2025-10-28 21:40:15,0,2,5734.72314453125,5157.14990234375,71.81330232362943,5157.150390625,59.30892562866211,-0.00973200798034668,client_23
2025-10-28 21:40:15,0,3,5590.87841796875,5997.88720703125,77.44603085576756,5997.8876953125,61.60792922973633,-0.019532442092895508,client_23
2025-10-28 21:40:15,0,4,5720.64697265625,5528.833984375,74.35612615039699,5528.83349609375,60.49724197387695,-0.008525252342224121,client_23
2025-10-28 21:40:15,0,5,6008.42919921875,5991.32177734375,77.4036258134107,5991.3212890625,62.24987030029297,-0.08159935474395752,client_23
2025-10-28 21:40:43,0,1,5728.25048828125,6203.57373046875,78.76277488148351,6203.57470703125,63.484798431396484,-0.08198392391204834,client_23
2025-10-28 21:40:43,0,2,5872.02978515625,5279.01611328125,72.65683803525481,5279.01611328125,59.56155014038086,-0.0335923433303833,client_23
2025-10-28 21:40:43,0,3,5760.3134765625,6167.2548828125,78.5318717643512,6167.2548828125,61.98691177368164,-0.04832172393798828,client_23
2025-10-28 21:40:43,0,4,5612.40478515625,5495.06884765625,74.12873159346685,5495.06884765625,60.699527740478516,-0.002366185188293457,client_23
2025-10-28 21:40:43,0,5,5719.8955078125,5696.1552734375,75.47288096872114,5696.15576171875,61.34742736816406,-0.028313755989074707,client_23
2025-10-28 21:41:07,0,1,5675.17724609375,6120.89306640625,78.23613969699362,6120.8935546875,63.2176628112793,-0.06756329536437988,client_23
2025-10-28 21:41:07,0,2,5994.54833984375,5393.4423828125,73.44005979581239,5393.4423828125,59.856658935546875,-0.05599617958068848,client_23
2025-10-28 21:41:07,0,3,5622.97900390625,6035.6611328125,77.68951437955607,6035.66064453125,61.64080810546875,-0.025953054428100586,client_23
2025-10-28 21:41:07,0,4,5581.576171875,5515.0068359375,74.2630920170814,5515.0068359375,61.09086990356445,-0.006003141403198242,client_23
2025-10-28 21:41:07,0,5,5708.93212890625,5685.59228515625,75.40286332013527,5685.591796875,61.303245544433594,-0.02640676498413086,client_23
2025-10-28 21:41:29,0,1,5571.32568359375,5942.39111328125,77.0869062375787,5942.39111328125,62.75807189941406,-0.03643012046813965,client_23
2025-10-28 21:41:29,0,2,5897.5615234375,5304.27783203125,72.83047323772688,5304.27783203125,59.593963623046875,-0.038538455963134766,client_23
2025-10-28 21:41:29,0,3,5488.37353515625,5894.73486328125,76.77717988805333,5894.7353515625,61.88385772705078,-0.001998424530029297,client_23
2025-10-28 21:41:29,0,4,5691.55126953125,5512.48388671875,74.2461100885511,5512.48486328125,60.4448356628418,-0.005543112754821777,client_23
2025-10-28 21:41:29,0,5,5737.14794921875,5713.46142578125,75.58744224923377,5713.46142578125,61.389530181884766,-0.03143787384033203,client_23
2025-10-28 21:41:53,0,1,5539.2861328125,5883.72607421875,76.70545009462333,5883.72607421875,62.58977508544922,-0.026198148727416992,client_23
2025-10-28 21:41:53,0,2,5746.2744140625,5169.62255859375,71.90008733370044,5169.62255859375,59.26422882080078,-0.012173891067504883,client_23
2025-10-28 21:41:53,0,3,5751.0029296875,6160.1669921875,78.48672820232889,6160.16650390625,61.9688720703125,-0.047116875648498535,client_23
2025-10-28 21:41:53,0,4,5846.39404296875,5595.306640625,74.80177907204981,5595.30615234375,60.4637565612793,-0.020650744438171387,client_23
2025-10-28 21:41:53,0,5,5633.01416015625,5606.0361328125,74.8734642215201,5606.03564453125,61.083282470703125,-0.012044548988342285,client_23
2025-10-28 21:42:17,0,1,5606.17041015625,6005.77783203125,77.49695369516952,6005.77783203125,62.88533401489258,-0.0474855899810791,client_23
2025-10-28 21:42:17,0,2,5696.32470703125,5126.42529296875,71.59905930226144,5126.42529296875,59.27714920043945,-0.003716111183166504,client_23
2025-10-28 21:42:17,0,3,5523.611328125,5931.64013671875,77.0171418368583,5931.64013671875,61.609764099121094,-0.008271455764770508,client_23
2025-10-28 21:42:17,0,4,5716.619140625,5524.478515625,74.32683905498908,5524.47900390625,60.44517135620117,-0.007730960845947266,client_23
2025-10-28 21:42:17,0,5,5695.234375,5670.24560546875,75.30103322975555,5670.24560546875,61.26498794555664,-0.023636341094970703,client_23
2025-10-28 21:42:40,0,1,5636.2548828125,6057.13720703125,77.82761211184145,6057.13720703125,63.013084411621094,-0.05644333362579346,client_23
2025-10-28 21:42:40,0,2,5861.18603515625,5269.0048828125,72.58791140963143,5269.0048828125,59.53017044067383,-0.031632184982299805,client_23
2025-10-28 21:42:40,0,3,5480.9892578125,5889.384765625,76.74233026111632,5889.38525390625,61.90753173828125,-0.0010889768600463867,client_23
2025-10-28 21:42:40,0,4,5653.0087890625,5499.48779296875,74.15853149145248,5499.48779296875,60.51480484008789,-0.00317227840423584,client_23
