timestamp,round,train_loss,val_loss,avg_epoch_loss,train_rmse,train_mse,train_mae,train_r2,val_rmse,val_mse,val_mae,val_r2,samples,algorithm,client_id
2025-10-28 21:59:19,0,10133.59375,10334.8544921875,15791.93569871856,100.66575261726304,0,0,-0.315860390663147,101.66048638575117,0,0,-0.3095294237136841,5229,fedprox,client_5
2025-10-28 21:59:43,0,8484.6220703125,8690.07421875,9168.933626500571,92.11199768318728,0,0,-0.10173904895782471,93.22056757363151,0,0,-0.10111939907073975,5229,fedprox,client_5
2025-10-28 22:00:07,0,8337.9267578125,8539.3115234375,8818.598655142436,91.31225402088704,0,0,-0.08269083499908447,92.40839530820509,0,0,-0.0820162296295166,5229,fedprox,client_5
2025-10-28 22:00:31,0,8233.9228515625,8436.220703125,8487.51162347561,90.74097105566482,0,0,-0.06918573379516602,91.84889616409389,0,0,-0.0689535140991211,5229,fedprox,client_5
2025-10-28 22:00:55,0,7813.29638671875,8013.57275390625,8344.144906392912,88.39285257711028,0,0,-0.014566779136657715,89.51856367361744,0,0,-0.015399932861328125,5229,fedprox,client_5
2025-10-28 22:01:19,0,7901.8359375,8105.3095703125,8379.080938571837,88.89227702147414,0,0,-0.02606379985809326,90.02949278049111,0,0,-0.027023792266845703,5229,fedprox,client_5
2025-10-28 22:01:43,0,8303.896484375,8511.34765625,8313.27972858708,91.12571266010762,0,0,-0.07827174663543701,92.256965353571,0,0,-0.07847297191619873,5229,fedprox,client_5
2025-10-28 22:02:07,0,7825.49951171875,8027.39794921875,8402.447085496857,88.46184238751616,0,0,-0.016151070594787598,89.5957473835603,0,0,-0.017151594161987305,5229,fedprox,client_5
2025-10-28 22:02:31,0,7917.80078125,8120.32470703125,8267.156506049923,88.98202778949944,0,0,-0.028136849403381348,90.11284700481114,0,0,-0.028926372528076172,5229,fedprox,client_5
2025-10-28 22:02:55,0,7816.43603515625,8017.1669921875,8247.778318823837,88.41061042180543,0,0,-0.014974474906921387,89.53863134930224,0,0,-0.01585519313812256,5229,fedprox,client_5
