timestamp,round,total_clients,fit_clients,eval_clients,avg_train_loss,avg_val_loss,avg_val_r2,avg_test_loss,avg_test_r2,centralized_loss,centralized_r2,algorithm
2025-10-29 15:23:51,1,12,12,25,8412.051391601562,8299.580159505209,-0.16244776050249735,9107.5719140625,0.0,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 15:23:54,2,25,25,25,7164.8829296875,7021.97849609375,-0.008414816856384278,7238.667412109375,0.0,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 15:23:57,3,25,25,25,7160.79447265625,7017.9933203125,-0.007840476036071777,7225.713984375,0.0,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 15:24:00,4,25,25,25,7161.29662109375,7019.57037109375,-0.0083451509475708,7227.65357421875,0.0,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 15:24:06,5,25,25,25,7154.0821484375,7011.976484375,-0.006911654472351075,7217.2913671875,0.0,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 15:24:08,6,25,25,25,7153.2073046875,7011.27119140625,-0.006784663200378418,7218.90677734375,0.0,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 15:24:11,7,25,25,25,7159.67408203125,7016.11625,-0.007481570243835449,7220.0238671875,0.0,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 15:24:14,8,25,25,25,7159.5382421875,7018.21904296875,-0.007846369743347167,7224.769296875,0.0,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 15:24:19,9,25,25,25,7159.04201171875,7016.0707421875,-0.00766845703125,7221.69544921875,0.0,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 15:24:24,10,25,25,25,7156.83130859375,7013.310390625,-0.007014284133911133,7219.7674609375,0.0,0,0,nasa_25c_alpha_0.1_fedavg
