round,client_id,num_examples,loss,mae,train_loss,val_loss,train_rmse,val_rmse,train_mse,val_mse,train_mae,val_mae,train_r2,val_r2,algorithm
1,client_19,791,0.08528166264295578,0.25368309020996094,0.08528166264295578,0.07759597897529602,0.2920302426855064,0.27856054813145387,0.08528166264295578,0.07759597897529602,0.25368309020996094,0.2369130253791809,-0.012043952941894531,0.0052443742752075195,moon
1,client_4,791,0.08918704092502594,0.25920769572257996,0.08918704092502594,0.07110535353422165,0.29864199457716245,0.26665587099147403,0.08918704092502594,0.07110535353422165,0.25920769572257996,0.22696658968925476,-0.016091585159301758,-0.0030891895294189453,moon
1,client_8,791,0.08757086843252182,0.25508350133895874,0.08757086843252182,0.06834324449300766,0.2959237544242128,0.2614254090424411,0.08757086843252182,0.06834324449300766,0.25508350133895874,0.22144682705402374,-0.01754903793334961,-0.012807130813598633,moon
1,client_16,791,0.07946571707725525,0.24399323761463165,0.07946571707725525,0.07841616123914719,0.28189662932833137,0.28002887117175573,0.07946570962667465,0.07841616868972778,0.24399323761463165,0.24128684401512146,0.0037657618522644043,-0.003753185272216797,moon
1,client_0,791,0.08334039896726608,0.25099921226501465,0.08334039896726608,0.09256836026906967,0.28868737237237463,0.30425048934894033,0.08334039896726608,0.09256836026906967,0.25099921226501465,0.2716086208820343,0.00016802549362182617,-0.0019568204879760742,moon
1,client_9,791,0.08098134398460388,0.24456743896007538,0.08098134398460388,0.08131058514118195,0.28457219915870785,0.28515009677466596,0.08098133653402328,0.08131057769060135,0.24456743896007538,0.24488729238510132,-0.0036427974700927734,0.0011597275733947754,moon
1,client_5,791,0.08002312481403351,0.2427186220884323,0.08002312481403351,0.08910582214593887,0.28288357563395744,0.2985059959138501,0.08002311736345291,0.08910582959651947,0.2427186220884323,0.26475080847740173,-0.008314728736877441,-0.004005312919616699,moon
1,client_13,791,0.08736573159694672,0.25447607040405273,0.08736573159694672,0.086119644343853,0.2955769343950338,0.2934614742913836,0.08736572414636612,0.0861196368932724,0.25447607040405273,0.25177595019340515,-0.04453635215759277,-0.0037823915481567383,moon
2,client_15,791,0.08128899335861206,0.2492556869983673,0.08128899335861206,0.08879053592681885,0.2851122469460266,0.2979773959149221,0.08128899335861206,0.08879052847623825,0.2492556869983673,0.2591280937194824,0.0094565749168396,0.0015711188316345215,moon
2,client_23,791,0.08074530214071274,0.24661828577518463,0.08074530214071274,0.08817354589700699,0.28415716547384856,0.29694029441358477,0.08074529469013214,0.08817353844642639,0.24661828577518463,0.2577306628227234,0.019485831260681152,0.009765863418579102,moon
2,client_19,791,0.08437103778123856,0.25198760628700256,0.08437103778123856,0.07819759845733643,0.29046694344076257,0.2796383350997077,0.08437104523181915,0.07819759845733643,0.25198760628700256,0.24297717213630676,-0.005736589431762695,-0.008202910423278809,moon
2,client_6,791,0.0830034539103508,0.2475406527519226,0.0830034539103508,0.07823194563388824,0.288103187173919,0.27969974192674585,0.0830034464597702,0.07823194563388824,0.2475406527519226,0.23604167997837067,-0.005674242973327637,-0.005908608436584473,moon
2,client_12,791,0.0853274017572403,0.2520485818386078,0.0853274017572403,0.07329609990119934,0.2921085572314185,0.27073252464600434,0.08532740920782089,0.07329609990119934,0.2520485818386078,0.23328052461147308,0.004852771759033203,-0.009652137756347656,moon
2,client_7,791,0.0645262598991394,0.21324212849140167,0.0645262598991394,0.07234180718660355,0.25402019584895097,0.2689643232598025,0.0645262598991394,0.07234180718660355,0.21324212849140167,0.22701500356197357,0.21054905652999878,0.0659947395324707,moon
2,client_1,791,0.08356314152479172,0.25273555517196655,0.08356314152479172,0.08847392350435257,0.28907290001795694,0.297445664793341,0.08356314152479172,0.08847392350435257,0.25273555517196655,0.25651758909225464,0.0023456811904907227,-0.004616856575012207,moon
2,client_8,791,0.08499261736869812,0.25206857919692993,0.08499261736869812,0.07618255168199539,0.2915349461373005,0.27601185523708,0.08499262481927872,0.0761825442314148,0.25206857919692993,0.23453405499458313,-0.0027430057525634766,-0.006817817687988281,moon
2,client_20,791,0.08695341646671295,0.2585829198360443,0.08695341646671295,0.08405538648366928,0.2948786470172314,0.28992305709116806,0.08695341646671295,0.08405537903308868,0.2585829198360443,0.2479613572359085,0.00600278377532959,-0.011415243148803711,moon
3,client_4,791,0.08568321913480759,0.2543378472328186,0.08568321913480759,0.07808192074298859,0.29271694806455434,0.2794314107118382,0.08568321168422699,0.07808191329240799,0.2543378472328186,0.2417922019958496,0.004872441291809082,-0.009408354759216309,moon
3,client_5,791,0.08332274854183197,0.2497452050447464,0.08332274854183197,0.07224918156862259,0.28865680061594245,0.2687920648345892,0.08332274854183197,0.07224917411804199,0.2497452050447464,0.22973719239234924,0.004091858863830566,-0.0013556480407714844,moon
3,client_22,791,0.08044669032096863,0.2432098090648651,0.08044669032096863,0.07367406785488129,0.28363124452427313,0.2714296875904732,0.08044668287038803,0.07367407530546188,0.2432098090648651,0.23616023361682892,0.03044867515563965,0.0013371706008911133,moon
3,client_19,791,0.08356452733278275,0.25052741169929504,0.08356452733278275,0.08096439391374588,0.289075296995061,0.2845424290220105,0.08356452733278275,0.08096439391374588,0.25052741169929504,0.24916590750217438,0.0005824565887451172,-0.01641857624053955,moon
3,client_8,791,0.08246278762817383,0.2474791705608368,0.08246278762817383,0.08517804741859436,0.2871633465959293,0.29185277104734464,0.08246278762817383,0.08517803996801376,0.2474791705608368,0.2517782151699066,-0.0006183385848999023,-0.001318812370300293,moon
3,client_18,791,0.07907863706350327,0.24120882153511047,0.07907863706350327,0.08737420290708542,0.2812092407149937,0.29559128938056684,0.07907863706350327,0.08737421035766602,0.24120882153511047,0.2570708990097046,-9.357929229736328e-05,0.00734788179397583,moon
3,client_14,791,0.08694519847631454,0.25574254989624023,0.08694519847631454,0.08299341052770615,0.29486471215849913,0.2880857693946477,0.08694519847631454,0.08299341052770615,0.25574254989624023,0.24862639605998993,0.005392789840698242,0.001679062843322754,moon
3,client_21,791,0.07243248075246811,0.22896991670131683,0.07243248075246811,0.0770750641822815,0.2691328310564657,0.2776239349932212,0.07243248075246811,0.0770750492811203,0.22896991670131683,0.2358407825231552,0.0494270920753479,0.02502453327178955,moon
3,client_0,791,0.08610375970602036,0.2571324110031128,0.08610375970602036,0.08197284489870071,0.29343442147440774,0.2863090024758228,0.08610375970602036,0.08197284489870071,0.2571324110031128,0.24754869937896729,0.00042122602462768555,-0.00329744815826416,moon
3,client_15,791,0.0813170075416565,0.24944595992565155,0.0813170075416565,0.08905012905597687,0.28516135799065745,0.2984126699813469,0.0813170000910759,0.08905012160539627,0.24944595992565155,0.25833889842033386,0.011959075927734375,-0.008074760437011719,moon
4,client_18,791,0.08060461282730103,0.2438623011112213,0.08060461282730103,0.08036654442548752,0.2839095152109225,0.28348993707976217,0.08060461282730103,0.08036654442548752,0.2438623011112213,0.24573376774787903,0.00606924295425415,-0.0018895864486694336,moon
4,client_1,791,0.08311622589826584,0.2515229284763336,0.08311622589826584,0.08745037019252777,0.2882988482430442,0.29572008757020174,0.08311622589826584,0.08745037019252777,0.2515229284763336,0.25846466422080994,0.010328829288482666,-0.02368474006652832,moon
4,client_12,791,0.08069834858179092,0.24531929194927216,0.08069834858179092,0.09405606985092163,0.2840745344644788,0.30668562054801596,0.08069834113121033,0.09405606985092163,0.24531929194927216,0.26434728503227234,0.006283879280090332,-0.06362378597259521,moon
4,client_2,791,0.07640321552753448,0.2365982085466385,0.07640321552753448,0.07535238564014435,0.2764113158456695,0.2745039035983367,0.07640321552753448,0.07535239309072495,0.2365982085466385,0.23487234115600586,0.048297762870788574,0.03786468505859375,moon
4,client_3,791,0.07525314390659332,0.23496907949447632,0.07525314390659332,0.06976503133773804,0.27432306484616514,0.2641307088123947,0.07525314390659332,0.06976503133773804,0.23496907949447632,0.22157584130764008,0.1000213623046875,0.02228415012359619,moon
