timestamp,round,total_clients,fit_clients,avg_train_loss,avg_val_loss,avg_val_r2,centralized_test_loss,centralized_test_r2,algorithm
2025-10-30 11:13:51,1,12,12,11632.03173828125,11850.159383138021,-0.7286021113395691,23.892351150512695,-56.46708297729492,nasa_25c_alpha_0.5_fedavgm_server_momentum_0.5
2025-10-30 11:13:54,2,25,25,7083.48015625,7005.67009765625,-0.014032025337219239,1928.09765625,-3837.405517578125,nasa_25c_alpha_0.5_fedavgm_server_momentum_0.5
2025-10-30 11:13:57,3,25,25,7084.84107421875,7010.47498046875,-0.014839859008789062,2520.9794921875,-5914.02392578125,nasa_25c_alpha_0.5_fedavgm_server_momentum_0.5
2025-10-30 11:13:59,4,25,25,7083.01076171875,7008.96986328125,-0.014450392723083495,628.257568359375,-1766.3604736328125,nasa_25c_alpha_0.5_fedavgm_server_momentum_0.5
2025-10-30 11:14:04,5,25,25,7081.2806640625,7002.47208984375,-0.013722677230834961,306.6410827636719,-650.2318725585938,nasa_25c_alpha_0.5_fedavgm_server_momentum_0.5
2025-10-30 11:14:07,6,25,25,7095.39681640625,7010.93458984375,-0.014898667335510254,557.94677734375,-1270.5269775390625,nasa_25c_alpha_0.5_fedavgm_server_momentum_0.5
2025-10-30 11:14:09,7,25,25,7070.2062109375,6994.0468359375,-0.012403292655944824,1057.50927734375,-2940.724365234375,nasa_25c_alpha_0.5_fedavgm_server_momentum_0.5
2025-10-30 11:14:12,8,25,25,7070.2343359375,6993.45537109375,-0.012363972663879395,1182.1771240234375,-2540.189697265625,nasa_25c_alpha_0.5_fedavgm_server_momentum_0.5
2025-10-30 11:14:17,9,25,25,7069.06248046875,6994.98640625,-0.012291712760925293,925.6168823242188,-1484.2698974609375,nasa_25c_alpha_0.5_fedavgm_server_momentum_0.5
2025-10-30 11:14:22,10,25,25,7070.1567578125,6996.95787109375,-0.012710218429565429,751.3303833007812,-2029.0577392578125,nasa_25c_alpha_0.5_fedavgm_server_momentum_0.5
