timestamp,round,client_id,samples,train_loss,val_loss,train_r2,val_r2,algorithm
2025-10-29 11:28:51,2,client_24,3291,6428.7822265625,6147.85498046875,-0.017269372940063477,-0.011659860610961914,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:51,2,client_7,3901,8215.3935546875,7250.03076171875,-0.01400899887084961,-0.006070613861083984,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_4,3239,5064.5556640625,5181.69677734375,-0.013036727905273438,-0.028053760528564453,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_6,3961,7497.20751953125,7293.8212890625,-0.0023735761642456055,-0.0010167360305786133,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_5,4092,5707.28515625,5761.41357421875,-0.0157928466796875,-0.016704797744750977,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_1,3381,5388.38232421875,5198.69140625,-0.013117551803588867,-0.0068891048431396484,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_10,2583,8591.462890625,8157.30126953125,-0.0048370361328125,-0.015009641647338867,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_16,4920,10600.224609375,9779.1748046875,-0.006841897964477539,-0.00688016414642334,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_23,3606,8307.232421875,7623.13623046875,-0.017949700355529785,-0.013367414474487305,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_13,3951,9946.890625,10771.89453125,-0.006645917892456055,-0.013472199440002441,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_3,5138,6698.83203125,7170.22509765625,-0.014967203140258789,-0.026758670806884766,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_15,4055,7167.19287109375,6987.86865234375,-0.014691472053527832,-0.01378321647644043,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_21,3720,5957.60205078125,5523.24365234375,-0.012638449668884277,-0.004411101341247559,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_7,3901,8198.1435546875,7239.5908203125,-0.011879920959472656,-0.00462186336517334,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_20,4579,6948.1220703125,6554.04052734375,-0.015354633331298828,-0.011086702346801758,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_22,3144,4178.51708984375,4311.2822265625,-0.010068893432617188,-0.01685154438018799,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_12,4006,6210.20556640625,5913.8173828125,-0.024117469787597656,-0.029161453247070312,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_2,4701,6189.7939453125,6515.34814453125,-0.002140045166015625,-0.005446910858154297,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_19,4983,8790.7021484375,8900.388671875,-0.012254595756530762,-0.010354042053222656,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_18,4179,6783.45849609375,6261.0693359375,-0.017096877098083496,-0.013347625732421875,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_9,3847,6547.4072265625,6364.173828125,-0.022195816040039062,-0.013918399810791016,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_8,3043,8115.38623046875,8019.99169921875,-0.021967291831970215,-0.01947307586669922,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_0,3003,5869.9765625,5986.1767578125,-0.021664857864379883,-0.024274349212646484,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_24,3291,6384.060546875,6112.958984375,-0.01019287109375,-0.005917549133300781,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_17,3436,6625.5078125,6574.22607421875,-0.017855167388916016,-0.022026896476745605,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,client_14,3627,9567.5068359375,9937.8505859375,-0.009067654609680176,-0.011517167091369629,nasa_25c_alpha_0.1_fedavg
