timestamp,round,total_clients,fit_clients,eval_clients,avg_train_loss,avg_val_loss,avg_val_r2,centralized_loss,centralized_r2,algorithm
2025-10-29 11:28:48,1,12,12,0,10815.726440429688,10816.314737955729,-0.5765819251537323,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:51,2,25,25,0,7210.92009765625,7069.28296875,-0.01516848087310791,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:53,3,25,25,0,7200.0683203125,7056.17591796875,-0.013457508087158203,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:28:55,4,25,25,0,7190.2258984375,7047.30255859375,-0.012131624221801758,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:29:00,5,25,25,0,7180.36779296875,7038.96298828125,-0.01093250274658203,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:29:02,6,25,25,0,7179.60400390625,7035.92697265625,-0.010352482795715332,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:29:05,7,25,25,0,7187.9400390625,7046.8103515625,-0.011878390312194825,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:29:07,8,25,25,0,7180.32458984375,7038.9591796875,-0.010633978843688965,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:29:12,9,25,25,0,7176.81572265625,7034.74537109375,-0.010242218971252442,0,0,nasa_25c_alpha_0.1_fedavg
2025-10-29 11:29:17,10,25,25,0,7185.2786328125,7041.995234375,-0.011236681938171386,0,0,nasa_25c_alpha_0.1_fedavg
