round,client_id,num_examples,loss,mae,train_loss,val_loss,train_rmse,val_rmse,train_mse,val_mse,train_mae,val_mae,train_r2,val_r2,algorithm
1,client_21,791,0.07556645572185516,0.23454955220222473,0.07556645572185516,0.07951539754867554,0.27489352169753756,0.2819847470142233,0.07556644827127457,0.07951539754867554,0.23454955220222473,0.24594444036483765,0.009593367576599121,-0.00920093059539795,fedavg
1,client_10,791,0.07958561182022095,0.23986507952213287,0.07958561182022095,0.08649066835641861,0.2821092196654001,0.2940929460320972,0.07958561182022095,0.08649066090583801,0.23986507952213287,0.24925139546394348,0.003829360008239746,-0.01044917106628418,fedavg
1,client_1,791,0.08186925947666168,0.2493685781955719,0.08186925947666168,0.08937747031450272,0.2861280343239388,0.2989606501105166,0.08186925202608109,0.08937747031450272,0.2493685781955719,0.2643285393714905,0.006741166114807129,0.021042168140411377,fedavg
1,client_5,791,0.08017392456531525,0.24298158288002014,0.08017392456531525,0.08419620990753174,0.2831500036470338,0.2901658317368393,0.08017392456531525,0.08419620990753174,0.24298158288002014,0.255370557308197,0.009030342102050781,-0.014427661895751953,fedavg
1,client_16,791,0.07897613942623138,0.2428513616323471,0.07897613942623138,0.0802576020359993,0.2810269371897139,0.28329771369606693,0.07897613942623138,0.0802575945854187,0.2428513616323471,0.24471072852611542,0.006827056407928467,-0.014959335327148438,fedavg
1,client_8,791,0.08130389451980591,0.24530984461307526,0.08130389451980591,0.08956606686115265,0.285138364779672,0.2992759166918268,0.08130388706922531,0.08956607431173325,0.24530984461307526,0.25581634044647217,0.011159837245941162,-0.04628407955169678,fedavg
1,client_11,791,0.07456859201192856,0.2326800376176834,0.07456859201192856,0.07676000148057938,0.27307250321467474,0.2770559536999329,0.07456859201192856,0.07676000148057938,0.2326800376176834,0.24141432344913483,0.08488500118255615,0.04454505443572998,fedavg
1,client_18,791,0.07990982383489609,0.24380242824554443,0.07990982383489609,0.08083397150039673,0.28268325708272163,0.2843131443493532,0.07990982383489609,0.08083396404981613,0.24380242824554443,0.24336636066436768,0.016872286796569824,-0.013877511024475098,fedavg
2,client_16,791,0.0827282965183258,0.24825939536094666,0.0827282965183258,0.07049296051263809,0.2876252710008733,0.2655051185254602,0.0827282965183258,0.07049296796321869,0.24825939536094666,0.22855329513549805,-0.017811179161071777,-0.0029206275939941406,fedavg
2,client_8,791,0.08404937386512756,0.2501911222934723,0.08404937386512756,0.07838108390569687,0.2899127004205362,0.27996620591620747,0.08404937386512756,0.07838107645511627,0.2501911222934723,0.23948481678962708,0.001933753490447998,-0.0054694414138793945,fedavg
